ORF_ID	ARO	Database	Cut_Off	Drugs	Drug Classes	Original Drug Classes
1028086397|WP_063844771.1|1|1|erm(F)|erm(F)|target_modification|2|CLINDAMYCIN/MACROLIDE/STREPTOGRAMIN|LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(F)	3000498	ncbi	Strict	['erythromycin', 'roxithromycin', 'lincomycin', 'telithromycin', 'clarithromycin', 'clindamycin', 'tylosin', 'spiramycin', 'azithromycin', 'dirithromycin', 'pristinamycin IA', 'quinupristin', 'virginiamycin M1', 'madumycin II', 'griseoviridin', 'dalfopristin', 'pristinamycin IB', 'virginiamycin S2', 'pristinamycin IC', 'vernamycin C', 'patricin A', 'patricin B', 'ostreogrycin B3', 'oleandomycin']	['macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'lincosamide antibiotic', 'lincosamide antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic']	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN
1028086399|WP_063844773.1|1|1|erm(F)|erm(F)|target_modification|2|CLINDAMYCIN/MACROLIDE/STREPTOGRAMIN|LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(F)	3000498	ncbi	Strict	['erythromycin', 'roxithromycin', 'lincomycin', 'telithromycin', 'clarithromycin', 'clindamycin', 'tylosin', 'spiramycin', 'azithromycin', 'dirithromycin', 'pristinamycin IA', 'quinupristin', 'virginiamycin M1', 'madumycin II', 'griseoviridin', 'dalfopristin', 'pristinamycin IB', 'virginiamycin S2', 'pristinamycin IC', 'vernamycin C', 'patricin A', 'patricin B', 'ostreogrycin B3', 'oleandomycin']	['macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'lincosamide antibiotic', 'lincosamide antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic']	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN
1028086413|WP_063844787.1|1|1|erm(G)|erm(G)|target_modification|2|ERYTHROMYCIN/LINCOSAMIDE/STREPTOGRAMIN/TYLOSIN|LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(G)	3000522	ncbi	Perfect	['erythromycin', 'roxithromycin', 'lincomycin', 'telithromycin', 'clarithromycin', 'clindamycin', 'tylosin', 'spiramycin', 'azithromycin', 'dirithromycin', 'pristinamycin IA', 'quinupristin', 'virginiamycin M1', 'madumycin II', 'griseoviridin', 'dalfopristin', 'pristinamycin IB', 'virginiamycin S2', 'pristinamycin IC', 'vernamycin C', 'patricin A', 'patricin B', 'ostreogrycin B3', 'oleandomycin']	['macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'lincosamide antibiotic', 'lincosamide antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic']	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN
1028086417|WP_063844791.1|1|1|erm(G)|erm(G)|target_modification|2|ERYTHROMYCIN/LINCOSAMIDE/STREPTOGRAMIN/TYLOSIN|LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(G)	3000522	ncbi	Strict	['erythromycin', 'roxithromycin', 'lincomycin', 'telithromycin', 'clarithromycin', 'clindamycin', 'tylosin', 'spiramycin', 'azithromycin', 'dirithromycin', 'pristinamycin IA', 'quinupristin', 'virginiamycin M1', 'madumycin II', 'griseoviridin', 'dalfopristin', 'pristinamycin IB', 'virginiamycin S2', 'pristinamycin IC', 'vernamycin C', 'patricin A', 'patricin B', 'ostreogrycin B3', 'oleandomycin']	['macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'lincosamide antibiotic', 'lincosamide antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic']	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN
1028086420|WP_063844794.1|1|1|erm(H)|erm(H)|target_modification|2|ERYTHROMYCIN/LINCOMYCIN/TYLOSIN/VERNAMYCIN_B|LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(H)	3002823	ncbi	Perfect	['erythromycin', 'lincomycin', 'pristinamycin IC', 'oleandomycin', 'carbomycin']	['macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'lincosamide antibiotic', 'streptogramin antibiotic']	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN
1028086441|WP_063844815.1|1|1|erm(R)|erm(R)|target_modification|2|ERYTHROMYCIN|MACROLIDE|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(R)	3000594	ncbi	Perfect	['erythromycin', 'roxithromycin', 'lincomycin', 'telithromycin', 'clarithromycin', 'clindamycin', 'tylosin', 'spiramycin', 'azithromycin', 'dirithromycin', 'pristinamycin IA', 'quinupristin', 'virginiamycin M1', 'madumycin II', 'griseoviridin', 'dalfopristin', 'pristinamycin IB', 'virginiamycin S2', 'pristinamycin IC', 'vernamycin C', 'patricin A', 'patricin B', 'ostreogrycin B3', 'oleandomycin']	['macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'lincosamide antibiotic', 'lincosamide antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic']	MACROLIDE
1028086445|WP_063844819.1|1|1|erm(S)|erm(S)|target_modification|2|CLINDAMYCIN/ERYTHROMYCIN/OSTREOGRYCIN/TYLOSIN|LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(S)	3001304	ncbi	Perfect	['lincomycin', 'tylosin', 'pristinamycin IC', 'carbomycin', 'niddamycin']	['macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'lincosamide antibiotic', 'streptogramin antibiotic']	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN
1028086451|WP_063844825.1|1|1|erm(T)|erm(T)|target_modification|2|ERYTHROMYCIN/LINCOSAMIDE/STREPTOGRAMIN/TYLOSIN|LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(T)	3000595	ncbi	Perfect	['erythromycin', 'roxithromycin', 'lincomycin', 'telithromycin', 'clarithromycin', 'clindamycin', 'tylosin', 'spiramycin', 'azithromycin', 'dirithromycin', 'pristinamycin IA', 'quinupristin', 'virginiamycin M1', 'madumycin II', 'griseoviridin', 'dalfopristin', 'pristinamycin IB', 'virginiamycin S2', 'pristinamycin IC', 'vernamycin C', 'patricin A', 'patricin B', 'ostreogrycin B3', 'oleandomycin']	['macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'lincosamide antibiotic', 'lincosamide antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic']	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN
1028086476|WP_063844850.1|1|1|erm(B)|erm(B)|target_modification|2|CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN_B|LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(B)	3000375	ncbi	Strict	['erythromycin', 'roxithromycin', 'lincomycin', 'telithromycin', 'clarithromycin', 'clindamycin', 'tylosin', 'spiramycin', 'azithromycin', 'dirithromycin', 'pristinamycin IA', 'quinupristin', 'virginiamycin M1', 'madumycin II', 'griseoviridin', 'dalfopristin', 'pristinamycin IB', 'virginiamycin S2', 'pristinamycin IC', 'vernamycin C', 'patricin A', 'patricin B', 'ostreogrycin B3', 'oleandomycin']	['macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'lincosamide antibiotic', 'lincosamide antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic']	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN
1028086480|WP_063844854.1|1|1|erm(U)|erm(U)|target_modification|2|LINCOMYCIN/MACROLIDE/STREPTOGRAMIN|LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(U)	3001305	ncbi	Perfect	['lincomycin']	['lincosamide antibiotic']	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN
1028086487|WP_063844861.1|1|1|erm(U)|erm(U)|target_modification|2|LINCOMYCIN/MACROLIDE/STREPTOGRAMIN|LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(U)	3001305	ncbi	Strict	['lincomycin']	['lincosamide antibiotic']	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN
1028086494|WP_063844868.1|1|1|erm(V)|erm(V)|target_modification|2|CLINDAMYCIN/ERYTHROMYCIN/TYLOSIN/VERNAMYCIN_B|LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(V)	3002824	ncbi	Perfect	['erythromycin', 'tylosin', 'oleandomycin', 'chalcomycin', 'kitasamycin', 'carbomycin', 'celesticetin']	['macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'lincosamide antibiotic']	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN
1028086497|WP_063844871.1|1|1|erm(W)|erm(W)|target_modification|2|ERYTHROMYCIN/LINCOSAMIDE/STREPTOGRAMIN/TYLOSIN|LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(W)	3001306	ncbi	Perfect	['erythromycin', 'josamycin']	['macrolide antibiotic', 'macrolide antibiotic']	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN
1028086505|WP_063844879.1|1|1|erm(X)|erm(X)|target_modification|2|AZITHROMYCIN/CLINDAMYCIN/ERYTHROMYCIN/LINCOMYCIN/STREPTOGRAMIN_B/TYLOSIN|LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(X)	3000596	ncbi	Perfect	['erythromycin', 'roxithromycin', 'lincomycin', 'telithromycin', 'clarithromycin', 'clindamycin', 'tylosin', 'spiramycin', 'azithromycin', 'dirithromycin', 'pristinamycin IA', 'quinupristin', 'virginiamycin M1', 'madumycin II', 'griseoviridin', 'dalfopristin', 'pristinamycin IB', 'virginiamycin S2', 'pristinamycin IC', 'vernamycin C', 'patricin A', 'patricin B', 'ostreogrycin B3', 'oleandomycin']	['macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'lincosamide antibiotic', 'lincosamide antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic']	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN
1028086515|WP_063844889.1|1|1|erm(X)|erm(X)|target_modification|2|AZITHROMYCIN/CLINDAMYCIN/ERYTHROMYCIN/LINCOMYCIN/STREPTOGRAMIN_B/TYLOSIN|LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(X)	3000596	ncbi	Strict	['erythromycin', 'roxithromycin', 'lincomycin', 'telithromycin', 'clarithromycin', 'clindamycin', 'tylosin', 'spiramycin', 'azithromycin', 'dirithromycin', 'pristinamycin IA', 'quinupristin', 'virginiamycin M1', 'madumycin II', 'griseoviridin', 'dalfopristin', 'pristinamycin IB', 'virginiamycin S2', 'pristinamycin IC', 'vernamycin C', 'patricin A', 'patricin B', 'ostreogrycin B3', 'oleandomycin']	['macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'lincosamide antibiotic', 'lincosamide antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic']	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN
1028086520|WP_063844894.1|1|1|erm(X)|erm(X)|target_modification|2|AZITHROMYCIN/CLINDAMYCIN/ERYTHROMYCIN/LINCOMYCIN/STREPTOGRAMIN_B/TYLOSIN|LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(X)	3000596	ncbi	Strict	['erythromycin', 'roxithromycin', 'lincomycin', 'telithromycin', 'clarithromycin', 'clindamycin', 'tylosin', 'spiramycin', 'azithromycin', 'dirithromycin', 'pristinamycin IA', 'quinupristin', 'virginiamycin M1', 'madumycin II', 'griseoviridin', 'dalfopristin', 'pristinamycin IB', 'virginiamycin S2', 'pristinamycin IC', 'vernamycin C', 'patricin A', 'patricin B', 'ostreogrycin B3', 'oleandomycin']	['macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'lincosamide antibiotic', 'lincosamide antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic']	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN
1028086548|WP_063844922.1|1|1|erm(X)|erm(X)|target_modification|2|AZITHROMYCIN/CLINDAMYCIN/ERYTHROMYCIN/LINCOMYCIN/STREPTOGRAMIN_B/TYLOSIN|LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(X)	3000596	ncbi	Strict	['erythromycin', 'roxithromycin', 'lincomycin', 'telithromycin', 'clarithromycin', 'clindamycin', 'tylosin', 'spiramycin', 'azithromycin', 'dirithromycin', 'pristinamycin IA', 'quinupristin', 'virginiamycin M1', 'madumycin II', 'griseoviridin', 'dalfopristin', 'pristinamycin IB', 'virginiamycin S2', 'pristinamycin IC', 'vernamycin C', 'patricin A', 'patricin B', 'ostreogrycin B3', 'oleandomycin']	['macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'lincosamide antibiotic', 'lincosamide antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic']	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN
1028086558|WP_063844932.1|1|1|erm(Y)|erm(Y)|target_modification|2|AZITHROMYCIN/CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN_B|LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(Y)	3002825	ncbi	Perfect	['erythromycin', 'azithromycin', 'oleandomycin']	['macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic']	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN
1028086599|WP_063844973.1|1|1|floR|floR|efflux|2|CHLORAMPHENICOL/FLORFENICOL|PHENICOL|chloramphenicol/florfenicol_efflux_MFS_transporter_FloR	3002705	ncbi	Strict	['chloramphenicol', 'florfenicol']	['phenicol antibiotic', 'phenicol antibiotic']	PHENICOL
1028086663|WP_063845037.1|1|1|floR|floR|efflux|2|CHLORAMPHENICOL/FLORFENICOL|PHENICOL|chloramphenicol/florfenicol_efflux_MFS_transporter_FloR	3002705	ncbi	Strict	['chloramphenicol', 'florfenicol']	['phenicol antibiotic', 'phenicol antibiotic']	PHENICOL
1028086691|WP_063845065.1|1|1|floR|floR|efflux|2|CHLORAMPHENICOL/FLORFENICOL|PHENICOL|chloramphenicol/florfenicol_efflux_MFS_transporter_FloR	3002705	ncbi	Strict	['chloramphenicol', 'florfenicol']	['phenicol antibiotic', 'phenicol antibiotic']	PHENICOL
1028086699|WP_063845073.1|1|1|floR|floR|efflux|2|CHLORAMPHENICOL/FLORFENICOL|PHENICOL|chloramphenicol/florfenicol_efflux_MFS_transporter_FloR	3002705	ncbi	Strict	['chloramphenicol', 'florfenicol']	['phenicol antibiotic', 'phenicol antibiotic']	PHENICOL
1028086745|WP_063845118.1|1|1|floR|floR|efflux|2|CHLORAMPHENICOL/FLORFENICOL|PHENICOL|chloramphenicol/florfenicol_efflux_MFS_transporter_FloR	3002705	ncbi	Strict	['chloramphenicol', 'florfenicol']	['phenicol antibiotic', 'phenicol antibiotic']	PHENICOL
1028086746|WP_063845119.1|1|1|floR|floR|efflux|2|CHLORAMPHENICOL/FLORFENICOL|PHENICOL|chloramphenicol/florfenicol_efflux_MFS_transporter_FloR	3002705	ncbi	Strict	['chloramphenicol', 'florfenicol']	['phenicol antibiotic', 'phenicol antibiotic']	PHENICOL
1028086756|WP_063845120.1|1|1|fomA|fomA|phosphotransferase|2|FOSFOMYCIN|FOSFOMYCIN|fosfomycin_resistance_kinase_FomA	3000423	ncbi	Perfect	['fosfomycin']	['phosphonic acid antibiotic']	FOSFOMYCIN
1028090984|WP_063848609.1|1|1|blaIMP-18|blaIMP|hydrolase|2|CARBAPENEM|BETA-LACTAM|subclass_B1_metallo-beta-lactamase_IMP-18	3002209	ncbi	Perfect	['carbapenem', 'cephalosporin', 'penicillin beta-lactam']	['beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic']	BETA-LACTAM
1028094191|WP_063851229.1|1|1|fosB-Bcer|fosB-Bcer|thiol_transferase|2|FOSFOMYCIN|FOSFOMYCIN|FosB_family_fosfomycin_resistance_bacillithiol_transferase	3005100	ncbi	Strict	['fosfomycin']	['phosphonic acid antibiotic']	FOSFOMYCIN
1028094192|WP_063851230.1|1|1|fosC|fosC|phosphotransferase|2|FOSFOMYCIN|FOSFOMYCIN|fosfomycin_resistance_kinase_FosC	3000380	ncbi	Perfect	['fosfomycin']	['phosphonic acid antibiotic']	FOSFOMYCIN
1028094193|WP_063851231.1|1|1|fosF|fosF|thiol_transferase|2|FOSFOMYCIN|FOSFOMYCIN|fosfomycin_resistance_glutathione_transferase_FosF	3003207	ncbi	Strict	['fosfomycin']	['phosphonic acid antibiotic']	FOSFOMYCIN
1028094194|WP_063851232.1|1|1|fosG|fosG|thiol_transferase|2|FOSFOMYCIN|FOSFOMYCIN|FosG_family_fosfomycin_resistance_glutathione_transferase	3007368	ncbi	Perfect	['fosfomycin']	['phosphonic acid antibiotic']	FOSFOMYCIN
1028094195|WP_063851233.1|1|1|fosH|fosX_gen|thiol_transferase|2|FOSFOMYCIN|FOSFOMYCIN|fosfomycin_resistance_hydrolase_FosH	3007369	ncbi	Perfect	['fosfomycin']	['phosphonic acid antibiotic']	FOSFOMYCIN
1028094217|WP_063851255.1|1|1|fusB|fusB|target_protection|2|FUSIDIC_ACID|FUSIDIC_ACID|fusidic_acid_resistance_EF-G-binding_protein_FusB	3003552	ncbi	Strict	['fusidic acid']	['fusidane antibiotic']	FUSIDIC_ACID
1028094224|WP_063851262.1|1|1|fusF|fusF|target_protection|2|FUSIDIC_ACID|FUSIDIC_ACID|fusidic_acid_resistance_EF-G-binding_protein_FusF	3004663	ncbi	Perfect	['fusidic acid']	['fusidane antibiotic']	FUSIDIC_ACID
1028094229|WP_063851267.1|1|1|fusF|fusF|target_protection|2|FUSIDIC_ACID|FUSIDIC_ACID|fusidic_acid_resistance_EF-G-binding_protein_FusF	3004663	ncbi	Strict	['fusidic acid']	['fusidane antibiotic']	FUSIDIC_ACID
1028094239|WP_063851277.1|1|1|fusH|fusH|hydrolase|2|FUSIDIC_ACID|FUSIDIC_ACID|fusidic_acid_esterase_FusH	3003026	ncbi	Perfect	['fusidic acid']	['fusidane antibiotic']	FUSIDIC_ACID
1028094245|WP_063851283.1|1|1|grm|grm||2|AMINOGLYCOSIDE|AMINOGLYCOSIDE|Grm_family_16S_rRNA_(guanine(1405)-N(7))-methyltransferase	3000862	ncbi	Loose	['dibekacin', 'amikacin', 'gentamicin C', 'sisomicin', 'netilmicin', 'kanamycin A', 'tobramycin', 'isepamicin', 'G418', 'arbekacin', 'gentamicin B']	['aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic']	AMINOGLYCOSIDE
1028094250|WP_063851288.1|1|1|hugA|hugA|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_A_beta-lactamase	3008784	ncbi	Loose	['monobactam', 'cephalosporin', 'penicillin beta-lactam']	['beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic']	BETA-LACTAM
1028094263|WP_063851301.1|1|1|hugA|hugA|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_A_beta-lactamase	3008784	ncbi	Loose	['monobactam', 'cephalosporin', 'penicillin beta-lactam']	['beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic']	BETA-LACTAM
1028094273|WP_063851311.1|1|1|hugA|hugA|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_A_beta-lactamase	3008784	ncbi	Loose	['monobactam', 'cephalosporin', 'penicillin beta-lactam']	['beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic']	BETA-LACTAM
1028094280|WP_063851318.1|1|1|iri|iri|hydroxylation|2|RIFAMPIN|RIFAMYCIN|rifampin_monooxygenase_Iri	3002884	ncbi	Perfect	['rifampin', 'rifaximin', 'rifabutin', 'rifapentine']	['rifamycin antibiotic', 'rifamycin antibiotic', 'rifamycin antibiotic', 'rifamycin antibiotic']	RIFAMYCIN
1028094303|WP_063851340.1|1|1|lnu(A)|lnu(A)|nucleotidyltransferase|2|LINCOSAMIDE|LINCOSAMIDE|lincosamide_nucleotidyltransferase_Lnu(A)	3002835	ncbi	Perfect	['lincomycin', 'pirlimycin']	['lincosamide antibiotic', 'lincosamide antibiotic']	LINCOSAMIDE
1028094329|WP_063851341.1|1|1|lnu(C)|lnu(C)|nucleotidyltransferase|2|LINCOSAMIDE|LINCOSAMIDE|lincosamide_nucleotidyltransferase_Lnu(C)	3002837	ncbi	Perfect	['lincomycin']	['lincosamide antibiotic']	LINCOSAMIDE
1028094332|WP_063851342.1|1|1|lnu(D)|lnu(D)|nucleotidyltransferase|2|LINCOSAMIDE|LINCOSAMIDE|lincosamide_nucleotidyltransferase_Lnu(D)	3002838	ncbi	Perfect	['lincomycin', 'clindamycin']	['lincosamide antibiotic', 'lincosamide antibiotic']	LINCOSAMIDE
1028094334|WP_063851343.1|1|1|lnu(E)|lnu(E)|nucleotidyltransferase|2|LINCOSAMIDE|LINCOSAMIDE|lincosamide_nucleotidyltransferase_Lnu(E)	3003762	ncbi	Perfect	['lincomycin']	['lincosamide antibiotic']	LINCOSAMIDE
1028094335|WP_063851344.1|1|1|lnu(F)|lnu(F)|nucleotidyltransferase|2|LINCOSAMIDE|LINCOSAMIDE|lincosamide_nucleotidyltransferase_Lnu(F)	3002839	ncbi	Perfect	['lincomycin', 'clindamycin']	['lincosamide antibiotic', 'lincosamide antibiotic']	LINCOSAMIDE
